QT	Question
Management	Is there treatment for HAM/TSP?
Management	Is there treatment for HTLV-1 in general?
Management	Is there a cure for HAM/TSP?
Management	Is there a cure for HTLV-1 in general?
OtherEffect	Is the use of Adderall; associated with essential thrombocythemia?
OtherEffect	Is the use of Wellbutrin; associated with essential thrombocythemia?
Complication	Is the use of Xanax; associated with essential thrombocythemia?
OtherEffect	Is the use of Zoloft; associated with essential thrombocythemia?
OtherEffect	Is the use of Ambien; associated with essential thrombocythemia?
OtherEffect	Is the use of Deplin; associated with essential thrombocythemia?
Management	How do I treat this condition?
Information	Is this a cancerous disease?
Susceptibility	Is this a genetic disorder?
Information	Are there any current studies in the United States?
Susceptibility	Is this genetic?
Susceptibility	Can it be transmitted from a mother to her baby?
Susceptibility	Is this is a genetic disease?
Management	What other treatment options are available?
Management	Can this medication successfully treat erythromelalgia?
OtherEffect	Can thrombotic thrombocytopenic purpura cause heart problems?
OtherEffect	Can thrombotic thrombocytopenic purpura cause other chronic health problems?
PersonOrg	Who should I talk to?
Diagnosis	How is it diagnosed?
Information	Can you provide me with more information?
Diagnosis	How can I go about having her tested?
Diagnosis	How is it diagnosed?
Management	How is it treated?
Management	Is there any treatment?
Management	Is there any treatment, especially for the headaches associated with this condition?
Manifestation	What are the symptoms of this condition?
Diagnosis	What medical tests would you normally use to identify this condition?
Management	If there's no cure, can it at least be treated?
Management	It there a cure for xeroderma pigmentosum?
Information	Who can I contact to learn more about this condition?
Susceptibility	Will any children have the disease if one parent has the disease and the other parent does not have it and is not even a carrier?
Information	Can you provide me with information?
Other	Can I donate blood?
PersonOrg	Is there any research studies enrolling women with this tumor?
PersonOrg	Is there a way I can talk to other women with this condition.
Diagnosis	How can I get them tested?
Cause	What are the genes involved?
Diagnosis	Are the genes detectable?
Diagnosis	Is there any kind of test available that can assure me an unaffected pregnancy?
Management	Where can I find recommendations for treatment of anaplastic ependymoma?
Susceptibility	When I have children, is there a chance of them having it?
Management	Can the condition be cured?
Prognosis	Will my hair ever grow back fully?
Prognosis	What can I expect from this condition?
Information	I would like to learn more about this condition.
Susceptibility	I would like to learn more about this condition, including how it is inherited.
Prognosis	I would like to learn more about this condition, including how it may affect me as I get older.
Susceptibility	Because she inherited the condition from me, does that mean she also has type 2, or is there a chance that she could have type 1?
Cause	What may have caused this to happen.
Information	I would like to learn more about this?
Susceptibility	What are the chances of my children being born with Duane syndrome?
Information	I was born with hyperlipoproteinemia type 1, and I would like more information on my disease.
Management	How are high calcium levels in adults with hypophosphatemic rickets treated?
Management	I am wondering if I should opt to have my streaks removed.
Management	I am wondering if I should be on some other form of estrogen.
Management	I want to know if there is treatment for this disease.
Management	I want to know what could make my pain go away.
Management	I was wondering as well if there is any new treatment.
Information	I was wondering if there is new information.
Information	I was wondering if there is updated information.
Management	Can you provide me with information about treatment for this condition?
Management	How might this condition be treated?
Prognosis	What is the prognosis for this type of tumor?
Information	Can you tell me more about this condition?
Management	Can you tell me more about this condition, including treatment options?
Management	What treatments are available for this condition?
Management	How can it be treated?
PersonOrg	Are there any doctors who specialize in this type of neurological dysfunction?
PersonOrg	Is there a support group?
Management	Is there any treatment?
Prognosis	What's the time frame that they get worse in?
Prognosis	How many people get worse?
Prognosis	How many people recover?
Information	I want to know what are the statistics for this disease?
OtherEffect	Are there people who just have the hallucinations?
Prognosis	What is the prognosis for individuals with this condition?
Management	How is this condition treated?
Manifestation	Can you provide me with information regarding symptoms?
Diagnosis	Can you provide me with information regarding diagnosis?
Management	Can you provide me with information regarding treatment?
Prognosis	Can you provide me with information regarding prognosis?
OtherEffect	Is pain normal?
OtherEffect	Do you think it has spread, or simply reoccurred in other areas of the breast?
OtherEffect	Is this pain connected to my breast disorder?
Management	Is it likely that I can be cured of this disease?
Information	I am still unable to find much information about this type of cancer.
Susceptibility	I am still unable to find much information about how I may have contracted it.
Prognosis	I am still unable to find much information about what my prognosis may be concerning any possible reoccurrence.
Diagnosis	How can I find out for sure?
OtherEffect	Is all this related to Gardner syndrome?
Prognosis	Can I possibly die from either of these diseases?
Diagnosis	How would I tell if this is the case?
Manifestation	Could this indicate that I am developing scleroderma inside my organs?
Susceptibility	Are my future children at risk to have this condition?
Information	Can you please help me?
Information	I would appreciate any information you could provide.
Information	I would appreciate any help you could provide.
Prognosis	Where can I find out what's going to come in my future as far as my health?
Prognosis	Where can I find out what's going to come in my future as far as physically?
OtherEffect	Does Klinefelter syndrome cause weight gain?
OtherEffect	Does Klinefelter syndrome make it harder to lose weight?
Diagnosis	What kind of testing should they have?
Susceptibility	Should I have my two children tested for this?
OtherEffect	I was wondering if this can make a person become diabetic.
Susceptibility	Are my children at-risk to inherit this condition?
OtherEffect	Is it possible for someone with MRKH syndrome to have children of their own through a surrogate?
Management	What treatments are recommended for morphea?
Management	Can you provide information on treatments for this condition?
OtherEffect	If I have children, would pregnancy cause serious health issues related to my condition?
Complication	What complications might I encounter as a result?
Information	Was it just in remission until I got older?
Information	Is this disease something that I have had all of my life?
Prognosis	Will it get worse?
Management	Is there anything to make this disappear from my skin?
Prognosis	If the condition does resolve, what are the chances that it will come back?
Prognosis	Can it spontaneously resolve?
Management	What are the chances that there will be a cure for this condition?
Management	What are some other treatment options?
Management	How long does it usually take for this medication to take effect?
Information	I would also be grateful for any other information about Poland syndrome.
OtherEffect	Is this common in people with Poland syndrome?
Prognosis	What is the life expectancy for people with this condition?
Prognosis	What is the estimated rate of recurrence for this condition?
Information	Has anyone else researched this issue?
Susceptibility	Is it strange that my brother may have the same condition, even though it is so rare?
Susceptibility	How often does it run in families?
Cause	Can a person have more than one of the genes that cause this condition?
Information	Can you give me any information about this please?
OtherEffect	Can this condition have any lasting effects on the organs?
OtherEffect	Can this condition have any lasting effects on the organs (heart)?
OtherEffect	Can this condition have any lasting effects on the organs (lungs)?
OtherEffect	Can this condition have any lasting effects on the organs (thyroid)?
OtherEffect	Can this condition have any lasting effects on the organs (kidneys)?
Prognosis	Can this turn into cancer?
Susceptibility	If I do get pregnant, would there be a chance my child could have the same condition?
OtherEffect	Can Evans syndrome cause infertility?
Information	I was looking for further information on portal hypertension.
Susceptibility	I was looking for further information on portal hypertension - incidence.
Susceptibility	I was looking for further information on portal hypertension - prevelance.
Information	I was looking for further information on portal hypertension - any other relevant information that might be available.
Susceptibility	What are the chances that I will have another pregnancy affected by this condition?
Prognosis	Am I going to have this for the rest of my life?
Prognosis	Does this disease go away?
PersonOrg	Where can my family be tested?
Diagnosis	Is genetic testing available for this condition?
Information	What information can you provide?
Information	I would like to learn more about this condition.
Prognosis	Where can I find studies which discuss these risks?
Prognosis	What information is available regarding recurrence risks for gastrointestinal stromal tumors?
Other	I would like to know if my doctor's claims could be plausible.
Management	How can this issue be fixed?
Management	Has Accutane been used to successfully treat granulomatous rosacea?
Management	How is this condition treated?
Information	I would like information about treatment for this condition.
PersonOrg	I would like information about which doctors could treat me.
Information	What information can you provide about this condition?
Diagnosis	Is there a test which can confirm this diagnosis?
OtherEffect	Can it cause shortness of breath.
Information	I was wondering what it is?
Information	Can you provide me with more information on this condition?
OtherEffect	Can a person with CHILD Syndrome have normal organs but have the skin and development issues?
OtherEffect	Can a person with CHILD Syndrome have normal limbs but have the skin and development issues?
Information	However, I have done some reading and came across CHILD syndrome and am wondering whether there are degrees of this syndrome.
Information	This is the first time hearing of it and I need to know more.
Information	I need more information about this disease.
Susceptibility	Are my children at risk for this condition?
Diagnosis	Is there a test that can verify this diagnosis?
PersonOrg	I would also like to learn how I can contact other parents who are dealing with this condition.
Information	I would like to learn more about this condition.
Complication	I would like to learn more about this condition, including its complications.
Prognosis	I would like to learn more about this condition, including its prognosis.
OtherEffect	I'm wondering if it has anything to do with this syndrome.
OtherEffect	Does this syndrome cause problems moving blood throughout the body?
OtherEffect	I was wondering if people with Pfeiffer syndrome have circulatory problems in their legs.
Diagnosis	For example, is amniocentesis available?
Management	For example, can this be done through in vitro fertilization (IVF)?
Management	I was wondering if there is any way for parents that have had a baby with glycogen storage disease type 4 (GSD4) to have a child without this condition.
Manifestation	Are there any physical characteristics associated with the disorder?
OtherEffect	Are there any mental characteristics associated with the disorder?
Diagnosis	Are there any tests that need to be done besides a blood test?
Information	Is there still research being done about triple X?
Management	I was wondering if there is a treatment.
Management	I was wondering if there are any in development.
OtherEffect	I was wondering if there were any underlying problems I should be concerned about associated with Ehlers-Danlos syndrome hypermobility type.
Information	I was wondering if you could provide me with more information on linear sebaceous nevus syndrome.
Diagnosis	I would appreciate receiving information about the diagnosis of patients with Goldmann Favre vitreoretinal disorder.
Prognosis	I would appreciate receiving information about the prognosis of patients with Goldmann Favre vitreoretinal disorder.
Management	I would appreciate receiving information about the treatment of patients with Goldmann Favre vitreoretinal disorder.
OtherEffect	Is a person with MPS I less likely to have brain damage if a bone marrow transplant is performed early?
Information	I would like general information on mucopolysaccharidosis I (MPS I).
Susceptibility	I need to know if autism is something that you are born with.
Susceptibility	I need to know if it is genetic.
Information	I would like information on autism.
Information	I would like information on branchiooculofacial syndrome.
Information	I would like information on factor V deficiency.
Management	I would like information on factor V deficiency, including treatment.
PersonOrg	I would like information on factor V deficiency, including the location of treatment centers.
Information	I would like some general information regarding Abernathy Malformation Type II.
Information	I would like some information on Fragile XE (FRAXE) syndrome.
Diagnosis	Is genetic testing available?
Diagnosis	How is this condition diagnosed?
Prognosis	What is the normal lifespan of people with this condition?
OtherEffect	I would like to know if heart-hand syndrome is associated with mental retardation.
Information	Where can I obtain more information on this condition?
OtherEffect	I would like to know if this disease can also cause cysts in the liver.
Susceptibility	I would like to know just how rare punctate inner choroidopathy is.
Management	What is the best pain management for it?
Information	I would like to know more about Madelung disease.
OtherEffect	Is it safe for them to bear children?
Complication	Do women with this condition have complications during pregnancy?
Prognosis	What is the average lifespan of a person with afibrinogenemia?
Management	If not, can it at least be treated?
Management	Can this condition be cured?
Susceptibility	What are the chances of this happening?
Susceptibility	For instance, if I have this condition, can I pass it along to my children?
Information	I would like to know more about this medical condition.
OtherEffect	I am particularly interested in learning if hypoglycemia is part of this disease.
Information	I would like to know the background for glycogen storage disease type 13.
Manifestation	I would like to know the physical presentation for glycogen storage disease type 13.
Diagnosis	I would like to know the diagnostic tests for glycogen storage disease type 13.
Prognosis	I would also like to know the prognosis for this disease.
Prognosis	I would also like to know its impact on life expectancy.
PersonOrg	I wonder if there is any possibility of a support community.
Susceptibility	I would like to know the incidence of Good syndrome.
OtherEffect	Are patients able to feed themselves?
OtherEffect	Does dysferlinopathy affect the muscles of the face?
OtherEffect	Are losing weight due to dysferlinopathy?
OtherEffect	Are a spine that is curving inward due to dysferlinopathy?
Manifestation	What symptoms may people experience as their disease progresses?
Management	I would like to know whether current research is finding ways to treat this disease.
Management	I would like to know whether current research is finding ways to cure this disease.
PersonOrg	I have many questions, who can I talk to?
Prognosis	What should we expect?
PersonOrg	Who are the best physicians I can discuss the diagnosis with?
Information	I would like to learn about amniotic band syndrome.
OtherEffect	Can chronic progressive external opthalmoplegia affect facial muscles as well?
Prognosis	What is the typical prognosis (long term outlook) for people with this condition?
Prognosis	Does the rate of progression vary from person to person?
Information	I would like to learn more about chronic progressive external opthalmoplegia.
Management	I would like to learn more about chronic progressive external opthalmoplegia, particularly how it can be treated.
PersonOrg	How can I get in touch with others affected by this condition?
Management	How is this condition treated?
Information	I would like to learn more about dentinogenesis imperfecta.
Information	I would like to learn more about fibrous dysplasia.
Information	I would like to learn more about fibrous dysplasia, particularly of the skull.
PersonOrg	How I can find other parents with children with this disorder.
Information	I would like to learn more about MPPH syndrome?
Management	What are the risks of back surgery?
Management	What are the benefits of back surgery?
Management	How is this condition treated?
Information	I would like to learn more about multiple pterygium syndrome, Escobar type.
PersonOrg	I would also like to know what medical facility closest to Raleigh NC has diagnosed this syndrome.
PersonOrg	I would also like to know what medical facility closest to Raleigh NC has treated this syndrome.
Diagnosis	I would like to know what test needs to be performed in order to make a conclusive diagnosis of this syndrome.
Diagnosis	I would like to know what test needs to be performed in order to be able to rule it out.
Diagnosis	I would like to know what battery of tests needs to be performed in order to make a conclusive diagnosis of this syndrome.
Diagnosis	I would like to know what battery of tests needs to be performed in order to be able to rule it out.
Information	I would like to learn more about Susac Syndrome.
Cause	Can you tell me more about its cause?
OtherEffect	Can you tell me more about its effects?
Manifestation	Can you tell me more about its symptoms?
Management	Can you tell me more about its treatments?
Information	I would like to obtain information about Ménière's disease.
Management	Any recommendations for how to fix these contractures?
Information	What research is currently underway for Klinefelter syndrome?
Cause	What increases the risk of males to have nondisjunction during meiosis?
Cause	What increases the risk of females to have nondisjunction during meiosis?
Cause	I'm also wondering about the cause of this condition.
Manifestation	I'm also wondering about the features of this condition.
OtherEffect	Is there a difference between the vascular problems common in AOS patients and those who also have CMTC?
OtherEffect	Is there a relationship between those deaths and vascular problems?
OtherEffect	Is there a relationship between those deaths and cutis marmorata telangiectastica congenita (CMTC)?
Prognosis	Is this a terminal illness with a short life expectancy?
Anatomy	Can this cancer occur on someone's back?
Information	Could you please provide some general, understandable information about this condition?
Information	Could you tell us more about this condition?
Management	Could you tell us more about its treatments?
Information	I am specifically interested in information on pediatric cases of this disorder.
Cause	I need information regarding cause.
Management	I need information regarding treatment.
Prognosis	I need information regarding prognosis.
Other	Are there any programs in New York to help with the cost of his dental work?
PersonOrg	Are there doctors who specialize in this condition?
PersonOrg	Are there researchers who specialize in this condition?
Management	Where can I learn about the most current treatments?
Management	How is this condition treated?
Prognosis	Will he need to take medication for the rest of his life?
Management	What treatments are available?
Diagnosis	How it it diagnosed?
Susceptibility	How is it inherited?
Cause	What causes this condition?
PersonOrg	How might I find out if specific treatments may be available where I live?
Management	What treatment is available?
Management	Is this disease curable?
Management	Is there anything that can be done about her abnormal sweating?
Prognosis	What are her chances of survival if it is a cancerous tumor?
Information	Can you please send be any information you have?
OtherEffect	How common is it for only one leg to have bowing?
Information	Do you have information on this condition that I could share with my family?
Management	If so, does this mean she should not use oral contraceptives in the future?
Cause	Is there a link between this condition and the use of birth control pills?
Prognosis	What are the chances that another lump will develop?
Management	Are there any treatments to prevent him from passing this on?
Management	Are there any therapies to prevent him from passing this on?
Susceptibility	Is that still the case?
OtherEffect	Is his low height due to Larsen syndrome?
OtherEffect	Is his low weight due to Larsen syndrome?
Susceptibility	Should all my family be tested?
Susceptibility	Will that carrier gene continue to be passed on?
Susceptibility	Does a child of a carrier automatically become a carrier as well?
Susceptibility	Who in the family needs to be tested for the carrier gene for MLD?
Prognosis	I would love to know more about this, the various stages.
Prognosis	I would love to know what happens in them.
Management	I would love to know and the possible treatments.
Prognosis	I would love to know and the long term prognosis.
Diagnosis	Should I get tested for it?
Susceptibility	What are my chances of developing Friedreich ataxia later on in life?
Information	Could you provide me with as much information as possible about this syndrome?
Information	I would like to know more about a condition called uncombable hair syndrome.
Management	If so, can one do anything about them?
Manifestation	Can you tell me if these are recognized symptoms of this syndrome?
Information	Can you provide general information on this disease?
Prognosis	Can you provide general information on what to expect in the future?
PersonOrg	If there are support organizations, that would be helpful too.
Information	I would appreciate if you could send me as much information as you might have.
Management	What are the methods of treatment for this condition?
Management	What can be done from to prevent the reappearance of the cysts?
Prognosis	I would like to ask about the prognosis.
Complication	I would like to ask about the serious complications associated with this disease.
Information	What can you tell us about this condition?
Information	Where can we get some information that explains this condition?
Management	Where can we get some information that explains its treatment?
OtherEffect	Is this type of behavior common in children with Mowat-Wilson syndrome?
Management	Where can I learn about new treatments for this condition?
Management	Is there any treatment for hydranencephaly at this stage?
Information	We realize this is an extraordinarily rare condition and we are looking for an explanation of this condition.
Information	Any information you can share would be most appreciated.
Information	Any information you can direct me to would be most appreciated.
Diagnosis	How is this condition diagnosed?
Diagnosis	I wonder if she might have Tietz syndrome.
PersonOrg	Is there a place where we can find other people who have severe symptoms as a result of this condition?
Management	How might this condition be managed?
Prognosis	What can we expect?
Other	Could my family, which has French Canadian heritage, be related to the Canadian family described by Renpenning in the 1960s?
OtherEffect	Do individuals with this condition require less sleep than average?
OtherEffect	Are speech delays common in Renpenning syndrome?
Information	I would like to learn more about this condition.
OtherEffect	Do people with Smith-Magenis crave caffeine?
Prognosis	How much longer will I be able to be with her?
Diagnosis	How is that possible that it came back negative and suddenly now it's positive?
Susceptibility	What are the chances that my future child(ren) will also have this condition?
Information	I would like to learn as much as possible about rickets.
Diagnosis	I would like to learn as much as possible about rickets, including how it is diagnosed.
Manifestation	Is it true that babies younger than 6 months may not have signs of rickets on x-ray?
Information	When can we consider it is SCID?
Prognosis	My baby has Miller-Dieker syndrome and I would like to know how long he might live.
Information	Do you have any information about this cancer?
Management	Where do medical studies stand?
Management	What is the status of treatment?
OtherEffect	How does this condition affect a person's vision?
Prognosis	What is the prognosis?
Susceptibility	How common is it?
Complication	Can this lead to a pre-cancerous condition?
Susceptibility	What are the chances of me having this genetic disorder?
Susceptibility	What are the chances of one of my six children having this genetic disorder?
Diagnosis	Is there any test I can do to see if I am a carrier of the gene for the condition?
OtherEffect	Is it true that individuals with this condition are infertile?
Prognosis	Do people with this condition have a shortened life expectancy?
Complication	What complications may occur in the future?
Susceptibility	Will our baby inherit this condition from him?
Susceptibility	I am also concerned as to whether it is hereditary.
Prognosis	As Burkitt is so rare, there is a lack of research determining whether the treatment is curative or palliative and I want to know what the chances are that it will return.
Information	Could you please provide some of the latest information on this disease?
Prognosis	What is the prognosis?
Management	How are the neurologic manifestations of Whipple disease treated?
Management	Please provide me with information about treatment for this disease.
Management	How is this condition managed?
Information	How can I find information specific to adults with this condition?
Diagnosis	Is carrier testing available for individuals from families at risk?
Management	What are the most common treatments for this condition?
Management	What are the most common drugs for this condition?
Diagnosis	Is there a way that they can be tested to rule out aHUS?
Prognosis	Do you have any information about how long this is going to last?
Management	Is there any treatment that may be able to help?
Prognosis	What is the prognosis?
Management	Can this condition be treated?
Information	What can you you tell me about this condition?
OtherEffect	What can you you tell me about this condition, particularly as it relates to the SMN genes?
Manifestation	What influences the age at which symptoms begin to appear?
Diagnosis	How is it diagnosed?
Manifestation	What are symptoms of ADPKD?
Diagnosis	I am interested in testing to determine if I will go on to develop symptoms in the future.
Diagnosis	Is there special testing my wife can have during the pregnancy to know if our fetus may have it?
Susceptibility	Is it possible I also have this genetic component, even though I'm healthy?
Susceptibility	Is there a genetic component to this condition?
Management	Do you know of any treatments available?
Cause	Can excessive drinking cause it?
PersonOrg	Who should I talk to if I want to be tested?
Diagnosis	Is testing available for this cancer?
Susceptibility	Is this true?
PersonOrg	Who can help us understand the cause of her DSD?
Other	What do these results mean?
Management	What options are available for treatment of this condition?
Prognosis	What can I expect for my child's future?
Information	What can you tell me about this conditon?
Information	Do you have any information on this syndrome?
Prognosis	How long does it take for the effects of treatment with levodopa to become noticeable?
Management	How is it treated?
Information	What is this condition?
Management	Are there any new drugs to treat this condition.
Management	Are there any new drugs (even under trial) to treat this condition.
Management	Are there any new vitamins to treat this condition.
Management	Are there any new vitamins (even under trial) to treat this condition.
Management	We are interested in receiving any information regarding effective treatment for trismus.
Management	Are there things I need to know about this condition other than keeping my daughter's skin covered?
Diagnosis	How common is it to be diagnosed with cystic fibrosis this late in life?
Diagnosis	How old must one be in order to be tested?
Manifestation	Is it possible for an individual with the mutation causing this condition to be asymptomatic?
Information	I'd like to learn more about this syndrome.
Diagnosis	I'd like to learn more about this syndrome including how it is diagnosed.
Manifestation	I'd like to learn more about this syndrome including its symptoms.
Management	I'd like to learn more about this syndrome including treatment.
Information	Can you tell me more about this condition?
Management	I wanted to know if there were cures for this disease.
Other	How will the recent discovery of the gene related to Kabuki syndrome affect her?
Prognosis	What is the life expectancy of this condition?
Other	Is there a method for tracking Kawasaki syndrome?
Susceptibility	Due to this possible connection should I have my child tested for monogenic diabetes?
Susceptibility	Since there is no other family history of type 1 diabetes should I have my child tested for monogenic diabetes?
Management	What can we do to help him?
Management	What should I do to keep my child?
Cause	Is there possibly any link between this disease and taking levaquin during pregnancy?
Susceptibility	Will my future grandchildren be at risk for inheriting it?
Prognosis	Do they normally live an average life span if you can keep them healthy?
Susceptibility	Are there any statistics on how many people have this?
Information	I am trying to find any information that is available.
Prognosis	I am trying to find any information that is available, particulary on life expectancy and.
Prognosis	I am trying to find any information that is available, particulary on prognosis into adulthood.
Prognosis	What impact will this diagnosis have for her in the future?
Prognosis	What is the prognosis?
Management	What treatments are available for this condition?
Management	Is this condition curable?
Susceptibility	Is there a chance her future children might also have the condition?
Manifestation	Are there any things I should look out for?
Susceptibility	What are the chances of me getting it?
Susceptibility	What are the chances of my brother getting it?
Diagnosis	How can we know if it is hereditary amyloidosis or not?
Information	Is it a lump that can be moved around?
Information	Is it bone?
Anatomy	I was researching metachondromatosis - is this something that when felt is attached to the bone itself?
Other	Is there any funding out there to help me start some research on the effects of cooking naturally for children with this condition?
Management	Can you help us with information on treatment of our disease?
Susceptibility	What are the chances that she has another molar pregnancy?
Susceptibility	How many cases have been diagnosed in the United States?
Susceptibility	How rare is Fanconi syndrome?
NotDisease	Are there factors that may contribute to a falsely positive result?
Prognosis	What are the chances that she will learn to walk?
Prognosis	What are the chances that she will learn to talk?
Susceptibility	How rare is this disorder?
Management	What can I do to help manage all of her issues?
Diagnosis	The geneticist that she saw said further testing is not necessary; is this correct?
Information	My daughter has been diagnosed with 17q21.31 microdeletion syndrome, and I would like more information on this condition.
Management	How might this condition be treated?
Information	Can you provide me with general information about this condition?
OtherEffect	Can you provide me with general information about this condition, including how it is related to epilepsy?
Management	Can you provide me with general information about this condition, including how it might be treated?
Prognosis	Can you provide me with general information about this condition, including how it might progress?
Information	Is this Cri du chat syndrome?
Information	Is this the same?
Susceptibility	I would like to know how rare this condition is.
Complication	I would like to know if there are any associated health complications.
Prognosis	I would like to know also if she will have this condition for life.
Prognosis	What is the prognosis?
Management	How is galactosialidosis treated?
Susceptibility	She looks like her father, does this mean she may have inherited the condition from him?
Anatomy	Does IP affect any areas inside the body?
Anatomy	Does IP affect any areas inside the body, such as internal organs?
OtherEffect	Does IP make the child have weight issues (my daughter is underweight for her age)?
Prognosis	My questions are: Is there a life span on someone who has IP?
Information	Please provide me with information.
Information	What can you tell me about this condition?
Information	Are there any clinical studies currently being performed?
Information	Do you have any information that can provide information on this rare autoimmune disease?
Information	Can you provide me with more information about this condition?
Management	How should she be treated?
Susceptibility	Is it possible that I have the condition also, and may not be just a carrier?
Information	I would like to know as much as possible about this condition.
Prognosis	I would like to know as much as possible about this condition, including the associated prognosis.
Information	I am looking for more information on this disease so that I can best meet my child's needs.
Management	Are there any dietary ways to control the symptoms of cyclic neutropenia?
Cause	Has this been verified as being one cause of the major missing chromosome for DRS?
Information	Can you provide me with information about this condition that I can share with my daughter's doctor?
Diagnosis	I wonder if my daughter may have Duane-radial ray syndrome.
Prognosis	Where can I find information on what to expect throughout her lifetime?
PersonOrg	Are there any support groups for this condition?
PersonOrg	How can I find other families that are in a similar situation?
Susceptibility	How did my daughter inherit this condition?
OtherEffect	Is there any information about homocystinuria and pregnancy?
OtherEffect	Will she loose these too?
Prognosis	Is there hope for her to grow hair on her scalp in the future?
Information	I would like to learn more about it and what to expect in terms of weight.
Prognosis	I would like to learn more about height gain, specific medical problems, and average life expectancy.
Information	Please send me all the information you have.
Prognosis	Is it survivable?
Management	She had scalded skin syndrome when she was a baby: will she still be able to recieve the treatment?
Management	She had scalded skin syndrome when she was a baby: will she need pain relief?
Management	Is there is anything out there that might help, now?
Information	Is there is anything out there that might help, in the future?
Information	Any stem cell research?
Information	Are there any clinical trials underway for this disorder?
Susceptibility	What are their chances of having a child with the condition?
Cause	Did I?
Cause	What did I do wrong?
Prognosis	Will she have a normal life span?
OtherEffect	Can you tell me if she will be able to have children?
Other	Are there any organizations who can help my family with financial concerns?
Management	Can you help?
PersonOrg	How can I find other families with kids with this syndrome?
PersonOrg	Are there any support groups?
Prognosis	I would like to know what the life expectancy is for people with this syndrome.
OtherEffect	Can you give me the name of another similar disease with the same loss of potassium?
Information	Can you suggest any additional Web sites?
Information	Can you please give me updated information about Bartters syndrome?
Diagnosis	How might a person be tested for this condition?
OtherEffect	Is it possible that she could also have trimethylaminuria?
Diagnosis	How is this condition diagnosed?
Management	Can you provide information regarding how to correct their teeth?
Complication	Could you tell me what these complications might be?
Susceptibility	Should my daughter be concerned about this before she starts a family?
Information	Can you provide me with more information about this condition?
Susceptibility	I am a concerned mother wondering if there is any chance of her baby having Beckwith-Wiedemann syndrome.
Susceptibility	I am a concerned mother wondering if there is any chance of her baby having any problems related to the syndrome.
Susceptibility	Is it possible she could have this being white?
Prognosis	I was curious as to long term prognosis.
Information	I was curious as to other relevant information.
Information	I would like information about this condition.
Information	I would like as well as resources for group discussions, medical research,.
PersonOrg	I would like specialists in the field.
Management	Is there anything that can be done to let her live a normal life?
Management	Do you have information on treatment?
Susceptibility	Would it be beneficial for my husband's family members to be tested?
Susceptibility	Would it be beneficial for my daughter's siblings to be tested?
Susceptibility	How rare is this condition?
Information	Can you help me to better understand this condition?
Management	Can you help me to better understand how it can be managed?
Management	I am concerned that no one seems to know much about the best follow-up treatment for her.
Information	Can you provide me with more information about this condition?
Cause	Can you provide me with more information about this condition, including its causes?
OtherEffect	Can you provide me with more information about this condition, including associated problems?
Management	Can you provide me with more information about this condition, including how it might be treated?
Management	What steps can I take to protect my daughter?
Information	What are they?
OtherEffect	Is there any data that would suggest that kidney problems could occur?
Prognosis	Is there any data that would suggest that kidney problems could show up later?
Susceptibility	Is it genetic or is it a development of nerves as she grew in my womb?
Susceptibility	How rare is this?
Management	Is there a treatment?
Other	Is it possible that she feels it?
Prognosis	Will this continue to the point that her face will never be plain?
Management	How is this condition treated?
Other	What happens to the fats as she can't break them down further?
OtherEffect	Is it normal for her to be hungry all the time?
OtherEffect	Is this a common occurrence in adults with pyridoxine-dependent epilepsy?
Management	Is there anything that can be done to improve the way she walks?
Cause	Could this be caused by hip dysplasia?
Information	I have never heard of monogenic diabetes and would like to learn more.
Information	Can you provide me with information about it?
Information	Can you refer me to valid useful information?
Diagnosis	If so, is there genetic testing available for it?
Susceptibility	Is this condition genetic?
Other	Are there any other options?
Management	Is there an alternative course of treatment?
Susceptibility	Should I be tested prior to use?
Diagnosis	What tests can be performed to diagnosis this condition?
Information	What is this condition?
Information	Can you please tell me about it.
Management	Can you please tell me what treatments there are for this condition.
Management	Are there any treatments for those already affected?
Management	Is it possible to prevent my children from inheriting this condition?
Information	What is the difference between familial CAA and Dutch type CAA?
Susceptibility	What are my chances of having the condition?
Information	Can you provide information about this condition?
Manifestation	Can you provide information about this condition, including symptoms?
Cause	Can you provide information about this condition, including causes?
Susceptibility	Can you provide information about this condition, including if it is genetic?
Management	Is there any treatment for this condition?
Susceptibility	Can you tell me what percent chance I would have of having this disease as well?
Diagnosis	Is this something my brother should make our doctors aware of in case symptoms start appearing?
Diagnosis	Is this something my sisters should make our doctors aware of in case symptoms start appearing?
Diagnosis	Is this something my our children should make our doctors aware of in case symptoms start appearing?
Susceptibility	Is this hereditary?
PersonOrg	So far no doctor has helped.
Management	So far no treatment plan has helped.
Susceptibility	Is this limited to French Canadians?
Management	What treatment opportunities are there?
Management	If this is caught early can anything be done about it?
Diagnosis	How?
PersonOrg	Where?
Diagnosis	Should I be tested?
Management	Is there anything out there that can help him?
Management	Is there anything out there that can help him such as medications?
Management	Is there anything out there that can help him such as alternative therapies?
Cause	Is it possible that radiation exposure could be contributing to his condition?
Management	Is this curable?
Diagnosis	Where can we access genetic testing for pyruvate kinase deficiency?
Diagnosis	Are there ways to monitor for this condition prenatally?
Prognosis	Is my next episode likely to be the same or progress to a more aggressive event?
OtherEffect	Is it possible for people with Prader-Willi to have high IQs?
Information	It is apparently quite rare and we would like information on this condition.
Management	What are the treatments for this condition?
Manifestation	What are the symptoms of asternia?
Management	What natural therapy can be used?
Management	How does it work?
Management	What can be done?
